--------- beginning of /dev/log/system
01-01 08:00:02.544 I/Vold    ( 1569): Vold 2.1 (the revenge) firing up
01-01 08:00:02.545 D/Vold    ( 1569): [-vold_debug-85] :the service.vold.status is Normal
01-01 08:00:02.545 D/Vold    ( 1569): [-vold_debug-122] :defaultVolume = /storage/emulated/0 
01-01 08:00:02.545 D/Vold    ( 1569): [-vold_debug-139] :bind mount /mnt/sdcard to /storage/emulated/0 ok !
01-01 08:00:02.545 D/VoldCmdListener( 1569): [-vold_debug-785] :IsoMountCmd created!
01-01 08:00:02.545 I/Vold    ( 1569): Load vold.emmc.fstab
01-01 08:00:02.560 D/Vold    ( 1569): [-vold_debug-546] :multi_mount!
01-01 08:00:02.560 D/Vold    ( 1569): [-vold_debug-261] :addVolumeDir
01-01 08:00:02.560 D/Vold    ( 1569): [-vold_debug-569] :multi_mount!!
01-01 08:00:02.561 E/Vold    ( 1569):  Vold is Running 
01-01 08:00:02.561 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram0'
01-01 08:00:02.561 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.561 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.561 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram0'
01-01 08:00:02.561 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.561 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.561 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.562 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram1'
01-01 08:00:02.562 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.562 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.562 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram1'
01-01 08:00:02.562 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.562 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.562 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram2'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'MINOR=2'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram2'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.563 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram3'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'MINOR=3'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram3'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.563 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.563 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.565 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram4'
01-01 08:00:02.565 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.565 D/NetlinkEvent( 1569): NL param 'MINOR=4'
01-01 08:00:02.565 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram4'
01-01 08:00:02.565 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.565 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.565 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram5'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MINOR=5'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram5'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.566 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram6'
01-01 08:00:02.566 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
