--------- beginning of /dev/log/system
01-01 08:00:03.108 I/Vold    ( 1568): Vold 2.1 (the revenge) firing up
01-01 08:00:03.109 D/Vold    ( 1568): [-vold_debug-85] :the service.vold.status is Normal
01-01 08:00:03.109 D/Vold    ( 1568): [-vold_debug-122] :defaultVolume = /storage/emulated/0 
01-01 08:00:03.109 D/Vold    ( 1568): [-vold_debug-139] :bind mount /mnt/sdcard to /storage/emulated/0 ok !
01-01 08:00:03.109 D/VoldCmdListener( 1568): [-vold_debug-785] :IsoMountCmd created!
01-01 08:00:03.109 I/Vold    ( 1568): Load vold.emmc.fstab
01-01 08:00:03.120 D/Vold    ( 1568): [-vold_debug-546] :multi_mount!
01-01 08:00:03.120 D/Vold    ( 1568): [-vold_debug-261] :addVolumeDir
01-01 08:00:03.120 D/Vold    ( 1568): [-vold_debug-569] :multi_mount!!
01-01 08:00:03.121 E/Vold    ( 1568):  Vold is Running 
01-01 08:00:03.121 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram0'
01-01 08:00:03.121 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.121 D/NetlinkEvent( 1568): NL param 'MINOR=0'
01-01 08:00:03.121 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram0'
01-01 08:00:03.121 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.121 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.121 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MINOR=1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.122 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram2'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MINOR=2'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram2'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.122 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram3'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MINOR=3'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram3'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.122 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram4'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MINOR=4'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram4'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.122 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram5'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'MINOR=5'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram5'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.122 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.122 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram6'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'MINOR=6'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram6'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.123 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram7'
