--------- beginning of /dev/log/system
01-01 08:00:02.852 I/Vold    ( 1569): Vold 2.1 (the revenge) firing up
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-85] :the service.vold.status is Normal
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-122] :defaultVolume = /storage/emulated/0 
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-139] :bind mount /mnt/sdcard to /storage/emulated/0 ok !
01-01 08:00:02.853 D/VoldCmdListener( 1569): [-vold_debug-785] :IsoMountCmd created!
01-01 08:00:02.853 I/Vold    ( 1569): Load vold.emmc.fstab
01-01 08:00:02.869 D/Vold    ( 1569): [-vold_debug-546] :multi_mount!
01-01 08:00:02.869 D/Vold    ( 1569): [-vold_debug-261] :addVolumeDir
01-01 08:00:02.869 D/Vold    ( 1569): [-vold_debug-569] :multi_mount!!
01-01 08:00:02.870 E/Vold    ( 1569):  Vold is Running 
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram0'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram0'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.871 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.871 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram2'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MINOR=2'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram2'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.871 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram3'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MINOR=3'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram3'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.871 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram4'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'MINOR=4'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram4'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.871 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.871 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram5'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MINOR=5'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram5'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.872 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram6'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MINOR=6'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram6'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.872 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram7'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MINOR=7'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram7'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.872 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram8'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MINOR=8'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram8'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
